,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Open Field/Arean Habitation ,,,,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Bucket type (old/new),Notes,Notes cont.,File Location on Drive ,,,,,,,,
428,KO,M,09/20/24,02/03/2025,13:15:00 AM,CONTROL,NEW,,,,,,,,,,,
257,HET,M,03/04/2024,09/04/2024,1406,CONTROL,OLD,,,,,,,,,,,
257,HET,M,03/04/2024,10/02/2024,1329,CONTROL,NEW,,,,,,,,,,,
257,HET,M,03/04/2024,10/28/2024,1412,CONTROL,NEW,,,,,,,,,,,
257,HET,M,03/04/2024,11/18/2024,1310,CONTROL,NEW,,,,,,,,,,,
259,KO,M,03/04/2024,09/04/2024,1526,CONTROL,OLD,"1430 failed recording, 1526 success",1st record failed due mandated computer update,H,,,,,,,,
259,KO,M,03/04/2024,10/02/2024,1308,CONTROL,OLD,,,,,,,,,,,
259,KO,M,03/04/2024,10/28/2024,1433,CONTROL,OLD,,,,,,,,,,,
259,KO,M,03/04/2024,11/18/2024,1311,CONTROL,OLD,,,,,,,,,,,
328,KO,M,05/15/2024,11/12/2024,1304,CONTROL,N/A,,,,,,,,,,,
261,WT,F,03/11/2024,09/11/2024,1325,CONTROL,OLD,,,"""H:\09112024OF""",,,,,,,,
261,HET,F,03/11/2024,10/09/2024,1353,CONTROL,OLD,,,,,,,,,,,
261,WT,F,03/11/2024,11/06/2024,1411,CONTROL,OLD,,,,,,,,,,,
263,HET,F,03/11/2024,09/11/2024,1407,CONTROL,OLD,,,"""H:\09112024OF""",,,,,,,,
263,WT,F,03/11/2024,10/09/2024,1332,CONTROL,NEW,,,,,,,,,,,
263,HET,F,03/11/2024,11/06/2024,1326,CONTROL,NEW,,,,,,,,,,,
232,KO,F,02/19/2024,08/19/2024,1300,CONTROL,OLD,,,,,,,,,,,
232,KO,F,02/19/2024,09/16/2024,1302,CONTROL,OLD,,,,,,,,,,,
232,KO,F,02/19/2024,10/14/2024,1427,CONTROL,OLD,,,,,,,,,,,
232,KO,F,02/19/2024,11/12/2024,1327,CONTROL,N/A,,,,,,,,,,,
234,KO,F,02/19/2024,08/19/2024,1322,CONTROL,OLD,,,,,,,,,,,
234,KO,F,02/19/2024,09/16/2024,1324,CONTROL,OLD,,,,,,,,,,,
234,KO,F,02/19/2024,10/14/2024,1450,CONTROL,OLD,,ran ~9 minutes passed window (1450-1510) ,,,,,,,,,
234,KO,F,02/19/2024,11/12/2024,1348,CONTROL,N/A,,,,,,,,,,,
243,KO,F,03/08/2024,09/11/2024,1300,CONTROL,OLD,,,"""H:\09112024OF""",,,,,,,,
243,KO,F,03/08/2024,10/07/2024,1300,CONTROL,NEW,,,,,,,,,,,
243,KO,F,03/08/2024,11/04/2024,1332,CONTROL,NEW,,,,,,,,,,,
243,KO,F,03/08/2024,12/04/2024,1347,CONTROL,NEW,,,,,,,,,,,
252,HET,F,03/04/2024,09/04/2024,1500,CONTROL,OLD,,2nd record successful on H,,,,,,,,,
252,HET,F,03/04/2024,10/02/2024,1307,CONTROL,NEW,,,,,,,,,,,
252,HET,F,03/04/2024,10/28/2024,1351,CONTROL,OLD,,,,,,,,,,,
252,HET,F,03/04/2024,11/18/2024,1330,CONTROL,OLD,,,,,,,,,,,
428,KO ,M,9/20/2024,11/04/2024,1344,CONTROL,OLD,,,,,,,,,,,
428,KO,M,9/20/2024,12/04/2024,1326,CONTROL,OLD,,,,,,,,,,,
429,HET,M,09/20/2024,11/04/2024,1322,CONTROL,OLD,,,,,,,,,,,
429,HET,M,9/20/2024,12/04/2024,1325,CONTROL,OLD,,,,,,,,,,,
262,HET,M,03/11/2024,09/11/2024,1346,CONTROL,OLD,,,"""H:\09112024OF""",,,,,,,,
262,HET,M,03/11/2024,10/09/2024,1418,CONTROL,OLD,,,,,,,,,,,
262,HET,M,03/11/2024,11/06/2024,1349,CONTROL,NEW,,,,,,,,,,,
261,WT,F,03/11/2024,12/04/2024,1314,CONTROL,NEW,,,,,,,,,,,
262,HET,M,03/11/2024,12/04/2024,1337,CONTROL,NEW,,,,,,,,,,,
263,HET,F,03/11/2024,12/04/2024,1359,CONTROL,OLD,,,,,,,,,,,
328,KO,m,5/15/2024,12/11/2024,1306,CONTROL,NEW,,,,,,,,,,,
428,KO,M,9/20/24,01/06/25,1338,CONTROL,old,,,,,,,,,,,
429,HET,M,9/20/24,01/06/25,1338,CONTROL,new,,,,,,,,,,,
328,KO,M,5/15/24,01/08/25,1353,CONTROL,old,,,,,,,,,,,
429,HET,M,09/20/24,02/03/25,13:20,CONTROL,NEW,,,,,,,,,,,
328,KO,M,5/15/2024,02/05/2025,1321,CONTROL,OLD,,,,,,,,,,,
