mising data? see here!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Open Field/Arean Habitation ,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Bucket type (old/new),Notes,Notes cont.,File Location on Drive ,,,,,
331,KO,F,06/12/2024,10/14/2024,1345,CONTROL,NEW,,,,,,,,
981,KO,F,5/30/23,7/12/23,1305,CONTROL,OLD,,,H:,,,,,
56,KO,M,05/28/2023,7/12/23,1330,CONTROL,OLD,,,H:,,,,,
974,HET,M,05/28/2023,7/12/23,1417,CONTROL,OLD,,,H:,,,,,
990,WT,F,05/28/2023,7/17/23,1310,CONTROL,OLD,,,OF at timepoint 1,,,,,
976,HET,F,05/28/2023,7/17/23,1332,CONTROL,OLD,,,OF at timepoint 1,,,,,
977,HET,F,05/28/2023,7/17/23,1354,CONTROL,OLD,,,OF at timepoint 1,,,,,
985,HET,M,05/30/2023,7/17/23,1418,CONTROL,OLD,,,OF at timepoint 1,,,,,
995,HET,M,05/30/2023,7/17/23,1440,CONTROL,OLD,,,OF at timepoint 1,,,,,
689,KO,M,06/09/2023,07/24/2023,1304,CONTROL,OLD,,,,,,,,
692,WT,M,06/08/2023,07/24/2023,1326,CONTROL,OLD,,,,,,,,
690,WT,F,06/08/2023,07/24/2023,1349,CONTROL,OLD,,,,,,,,
691,WT,F,06/08/2023,07/24/2023,1412,CONTROL,OLD,,,,,,,,
698,WT,F,06/08/2023,07/24/2023,1434,CONTROL,OLD,,"tag was initially misread as 869, and files were named as such. ""869"" files frm 7/24 need to be renamed to reflect the correct tag number -zg",,,,,,
981,KO,F,05/30/2023,08/09/2023,1353,CONTROL,OLD,,,,,,,,
974,HET,M,05/28/2023,08/09/2023,1416,CONTROL,OLD,,,,,,,,
56,KO,M,05/28/2023,08/09/2023,1437,CONTROL,OLD,,initially tagged as 973 before being retagged as 056,,,,,,
990,WT,F,05/28/2023,08/15/2023,1307,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
977,HET,F,05/28/2023,08/15/2023,1328,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
976,HET,F,05/28/2023,08/15/2023,1349,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
985,HET,M,05/30/2023,08/15/2023,1412,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
995,HET,M,05/30/2023,08/15/2023,1436,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
689,KO,M,06/09/2023,08/21/2023,1301,CONTROL,OLD,,,,,,,,
692,WT,M,06/08/2023,08/21/2023,1322,CONTROL,OLD,,,,,,,,
690,WT,F,06/08/2023,08/21/2023,1344,CONTROL,OLD,,,,,,,,
691,WT,F,06/08/2023,08/21/2023,1405,CONTROL,OLD,,,,,,,,
698,KO,M,06/09/2023,08/21/2023,1427,CONTROL,OLD,,,,,,,,
981,KO,F,05/30/2023,09/05/2023,1317,CONTROL,OLD,,"i think a bulb has gone out. didn't catch it until 9/6, but lighting on ths cohort might not be consistent with the rest of our runs up until now. ",,,,,,
973,KO,M,05/28/2023,09/05/2023,1339,CONTROL,OLD,,,,,,,,
974,HET,M,05/28/2023,09/05/2023,1402,CONTROL,OLD,,,,,,,,
995,WT,M,05/30/2023,09/12/2023,1402,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
985,HET,M,05/30/2023,09/12/2023,1424,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
990,WT,f,05/28/2023,09/12/2023,1446,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
977,HET,f,05/28/2023,09/12/2023,1510,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
976,WT,F,05/28/2023,09/12/2023,1532,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
689,KO,M,06/09/2023,09/20/2023,1333,CONTROL,OLD,,,,,,,,
692,WT,M,06/08/2023,09/20/2023,1356,CONTROL,OLD,,,,,,,,
690,WT,F,06/08/2023,09/20/2023,1420,CONTROL,OLD,,,,,,,,
691,WT,F,06/08/2023,09/20/2023,1442,CONTROL,OLD,,,,,,,,
698,KO,M,06/09/2023,09/20/2023,,CONTROL,OLD,,,,,,,,
973,KO,,5/28/2023,10/04/2023,1333,CONTROL,OLD,,,,,,,,
974,HET,M,05/28/2023,10/04/2023,1356,CONTROL,OLD,,,,,,,,
981,KO,F,5/30/2023,10/04/2023,1418,CONTROL,OLD,,,,,,,,
977,HET,F,5/28/2023,10/11/2023,1344,CONTROL,OLD,,,,,,,,
976,WT,F,5/28/2023,10/11/2023,1405,CONTROL,OLD,,,,,,,,
990,HET- is this supposed to be WT?,F,5/28/2023,10/11/2023,1428,CONTROL,OLD,,,,,,,,
995,WT,M,5/30/2023,10/11/2023,1451,CONTROL,OLD,,,,,,,,
689,KO,M,6/9/2023,10/18/2023,1259,CONTROL,OLD,,,,,,,,
690,WT,F,6/8/2023,10/18/2023,1406,CONTROL,OLD,,,,,,,,
691,WT,F,6/8/2023,10/18/2023,1429,CONTROL,OLD,,,,,,,,
692,WT,M,6/8/2023,10/18/2023,1320,CONTROL,OLD,,,,,,,,
698,WT,F,6/8/2023,10/18/2023,1344,CONTROL,OLD,,,,,,,,
159,WT,F,10/16/2023,11/20/2023,1316,CONTROL,OLD,,,videos,,,,,
161,WT,M,10/16/2023,11/20/2023,1338,CONTROL,OLD,,,videos,,,,,
161,WT,M,10/17/2023,12/18/2023,,CONTROL,OLD,,,videos,,,,,
159,WT,F,10/18/2023,12/18/2023,,CONTROL,OLD,,,videos,,,,,
161,WT,M,10/16/2023,01/17/2024,1455,CONTROL,OLD,,"This file is saved as 161f rather than 161m, I looked at the tag incorrectly. I didn't change the file name because I didn't know if it would cause any issues with linking the two programs. KM",videos,,,,,
159,WT,F,10/16/2023,01/17/2024,1519,CONTROL,OLD,,,videos,,,,,
159,WT,F,10/16/2023,02/14/2024,1301,CONTROL,OLD,,,videos,,,,,
161,WT,M,10/16/2023,02/14/2024,1325,CONTROL,OLD,,,videos,,,,,
214,KO,M,01/03/2024,02/21/2024,1312,CONTROL,OLD,,,OF at timepoint 1,,,,,
215,WT,M,01/03/2024,02/21/2024,1335,CONTROL,OLD,,,OF at timepoint 1,,,,,
217,KO,M,01/03/2024,02/21/2024,1358,CONTROL,OLD,,,OF at timepoint 1,,,,,
218,WT,M,01/03/2024,02/21/2024,1421,CONTROL,OLD,,,OF at timepoint 1,,,,,
214,KO,M,01/03/2024,03/20/2024,1423,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
215,WT,M,01/03/2024,03/20/2024,1317,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
217,KO,M,01/03/2024,03/20/2024,1339,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
218,WT,M,01/03/2024,03/20/2024,1400,CONTROL,OLD,,,OF at timepoint 2 ,,,,,
165,HET,F,10/30/2023,04/03/2024,1409,CONTROL,OLD,,"was in the OF for 5 min before realizing the file was not saving properly. Removed from OF early, stopped/ deleted recording, and allowed the mouse to rest (while 166f tested) before being replaced in the OF for the full 20min. ",,,,,,
166,WT,F,10/30/2023,04/03/2024,1349,CONTROL,OLD,,,,,,,,
187,WT,M,11/07/2023,04/10/2024,1348,CONTROL,OLD,,,,,,,,
189,HET,M,11/07/2023,04/10/2024,1412,CONTROL,OLD,,,,,,,,
181,WT,M,11/07/2023,04/10/2024,1436,CONTROL,OLD,,,,,,,,
179,WT,M,11/07/2023,04/10/2024,1500,CONTROL,OLD,,,,,,,,
214,KO,M,01/03/2024,04/17/2024,1310,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
215,WT,M,01/03/2024,04/17/2024,1335,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
217,KO,M,01/03/2024,04/17/2024,1357,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
218,WT,M,01/03/2024,04/17/2024,1420,CONTROL,OLD,,,OF at timepoint 3 ,,,,,
165,HET,F,10/30/2023,04/29/2024,1306,CONTROL,OLD,,,,,,,,
166,WT,F,10/30/2023,04/29/2024,1327,CONTROL,OLD,,,,,,,,
187,WT,M,11/9/2023,05/08/2024,1302,CONTROL,OLD,,,,,,,,
189,HET,M,11/9/2023,05/08/2024,1324,CONTROL,OLD,,,,,,,,
179,WT,M,11/7/2023,05/08/2024,1346,CONTROL,OLD,,,,,,,,
181,WT,M,11/7/2023,05/08/2024,1407,CONTROL,OLD,,,,,,,,
215,WT,M,01/03/2024,05/15/2024,1322,CONTROL,OLD,,"218 was in bucket for 5 seconds before realizing command prompt wasn't recording. Was taken out to cage, and rested. 215 was put into same bucket on accident, and taken out immedately. New bucket was used for 215",,,,,,
218,WT,M,01/03/2024,05/15/2024,1349,CONTROL,OLD,,,Data storedin Data G File,,,,,
217,KO,M,01/03/2024,05/15/2024,1415,CONTROL,OLD,,,Data storedin Data G File,,,,,
165,HET,F,10/30/2024,05/29/2024,1315,CONTROL,OLD,,,Expansion (H:),,,,,
166,WT,F,10/30/2024,05/29/2024,1357,CONTROL,OLD,,"severe barbering noted, will separate on friday after test week is complete; error came up while tring to record originally, recording was stopped and restarted after washing bucket (screenshot to right)",Expansion (H:),,error from 166f recording (05/29/24)  probably because the G: file ran out of room  -->,,,
187,WT,M,11/9/2023,06/05/2024,1324,CONTROL,OLD,,,,,,,,
189,HET,M,11/9/2023,06/05/2024,1345,CONTROL,OLD,,,,,,,,
179,WT,M,11/7/2023,06/05/2024,1408,CONTROL,OLD,,,,,,,,
181,WT,M,11/7/2023,06/05/2024,1429,CONTROL,OLD,,,,,,,,
297,KO,M,04/23/2024,06/05/2024,1302,CONTROL,OLD,,,,,,,,
165,HET,F,10/30/2024,06/26/2024,1328,CONTROL,OLD,,,H,,internet was being weird and took troubleshooting,,,
166,WT,F,10/30/2024,06/26/2024,1351,CONTROL,OLD,,,,,,,,
187,WT,M,11/07/2023,07/01/2024,1338,CONTROL,OLD,,,,,acclimation ran long,,,
189,HET,M,11/07/2023,07/01/2024,1400,CONTROL,OLD,,,,,,,,
181,WT,M,11/07/2023,07/01/2024,1421,CONTROL,OLD,,,,,"accidentally started in old bucket, aborted recording and restated",,,
179,WT,M,11/07/2023,07/01/2024,1444,CONTROL,OLD,,,,,,,,
297,KO,M,04/23/2024,07/10/2024,,CONTROL,OLD,,,,,,,,
331,KO,F,06/12/2024,07/22/2024,1419,CONTROL,OLD,,,,,,,,
333,KO,F,06/12/2024,07/22/2024,1441,CONTROL,OLD,,,,,,,,
355,KO,M,06/13/2024,07/24/2024,1302,CONTROL,OLD,,"hit enter, didn't record? didn't catch until late in the run (ugh)",,,,,,
355,KO,M,06/13/2024,07/24/2024,1531,CONTROL,OLD,,,H: (07242024OF2),,,,,
369,KO,M,06/12/2024,07/24/2024,1325,CONTROL,OLD,,,,,,,,
337,HET,M,06/12/2024,07/24/2024,1347,CONTROL,OLD,,,,,,,,
357,KO,M,06/13/2024,07/24/2024,1409,CONTROL,OLD,,,,,,,,
358,KO,M,06/13/2024,07/24/2024,1430,CONTROL,OLD,,,,,,,,
297,KO,M,04/23/2024,07/31/2024,1344,CONTROL,OLD,,,,,,,,
331,KO,F,06/12/2024,08/19/2024,1345,CONTROL,OLD,,,,,,,,
333,KO,F,06/12/2024,08/19/2024,1407,CONTROL,OLD,,,,,,,,
355,KO,M,06/13/2024,08/21/2024,1300,CONTROL,OLD,,,,,,,,
369,KO,M,06/12/2024,08/21/2024,1321,CONTROL,OLD,,,,,,,,
337,HET,M,06/12/2024,08/21/2024,1342,CONTROL,OLD,,,,,,,,
358,KO,F,06/13/2024,08/21/2024,1403,CONTROL,OLD,,,,,,,,
357,KO,F,06/13/2024,08/21/2024,1424,CONTROL,OLD,,,,,,,,
297,KO,M,4/23/24,08/28/2024,1400,CONTROL,OLD,,,,,,,,
331,KO,F,06/12/2024,09/16/2024,1345,CONTROL,OLD,,,,,,,,
333,KO,F,06/12/2024,09/16/2024,1407,CONTROL,OLD,,,,,,,,
355,KO,M,06/13/2024,09/18/2024,1300,CONTROL,OLD,,,,,,,,
369,KO,M,06/12/2024,09/18/2024,1321,CONTROL,OLD,,,,,,,,
337,HET,M,06/12/2024,09/18/2024,1342,CONTROL,OLD,,,,,,,,
358,KO,M,06/13/2024,09/18/2024,1403,CONTROL,OLD,,,,,,,,
357,KO,M,06/13/2024,09/18/2024,1424,CONTROL,OLD,,,,,,,,
333,KO,F,06/12/2024,10/14/2024,1407,CONTROL,NEW,,,,,,,,
358,KO,M,06/13/2024,10/16/2024,1337,CONTROL,OLD,,many technicals,,,,,,
357,KO,M,06/13/2024,10/16/2024,1450,CONTROL,OLD,,,,,,,,
445,KO,M,11/04/2024,12/16/2024,1346,D-PEN,NEW,,,,,,,,
444,HET,M,11/04/2024,12/16/2024,1410,ZN,OLD,,,,,,,,
445,KO,M,11/04/2024,01/13/2024,1350,D-PEN,old,,,,,,,,
444,HET,M,11/04/2024,01/13/2024,1350,ZN,new,,,,,,,,
444,HET,M,11/04/2024,02/10/2025,1348,ZN,old,,,,,,,,
445,KO,M,11/04/2024,02/10/2025,1452,D-PEN,new,,,,,,,,
Novel Object | Familiarization Session,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time in,Treatment type,Toy,rest over @ ,Notes &/or Napari Labeled,Bucket type (old/new),Used in Training model,File Location on Drive ,Age at test date in Days ,Age at test date in weeks ,
981,KO,F,05/30/2023,7/13/23,1320,CONTROL,diamonds,,,OLD,,,#VALUE!,#VALUE!,
974,HET,M,05/28/2023,7/13/23,1332,CONTROL,silos,,,OLD,,,44,6,
56,KO,M,05/28/2023,7/13/23,1346,CONTROL,pyramids,,,OLD,,,46,7,
990,WT,F,5/28/23,7/18/23,1300,CONTROL,silos,,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,46,7,
977,HET,F,05/28/2023,7/18/23,1314,CONTROL,diamonds,,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,51,7,
976,WT,F,05/28/2023,7/18/23,1327,CONTROL,pyramids,,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,51,7,
995,HET,M,05/30/2023,7/18/23,1338,CONTROL,silos,,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,51,7,
985,HET,M,05/30/2023,7/18/23,1349,CONTROL,diamonds,,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,49,7,
